X,Y,OBJECTID,record,vesselTerms,areaIdentifier,chart,positionQuality,positionSource,depth,soundingType,yearSunk,history,latitudeDD,longitudeDD
-7670008.20434402,5533525.22893688,11,10726,UNKNOWN,A,13309,High,Direct,36,Feet and tenths,,"HISTORY H10867/99-- OPR-A343-RU; UNCHARTED DANGEROUS SUBMERGED WRECK LOCATED BY SIDE SCAN SONAR. DIVERS OBTAINED A LD (PNEUMO DEPTH GAUGE) OF 36.4 FEET IN LAT. 44-26-17.906N, LONG. 68-54-03.083W. CONFIRMED MULTIBEAM DEPTH OF 36 FEET. EVALUATOR RECO",44.438308,-68.900856
-7900900.92178096,5215897.53261476,12,11459,UNKNOWN,A,13270,Med,Direct,,,,"HISTORY LNM13/01-- (3/27/01); MASSACHUSETTS-BOSTON HARBOR-WINTHROP CHANNEL-HAZARD TO NAVIGATION; A 25-FOOT SUNKEN VESSEL HAS BEEN REPORTED AT (PA) LAT. 42-21-56N, LONG 70-58-30W. SUBMERGED VESSEL'S POSITION IS UNMARKED. MARINERS ARE ADVISED TO US",42.365556,-70.975
-7872365.72404587,5324425.57883331,13,10753,UNKNOWN,A,13283,High,Direct,,,,HISTORY H8090/1955-- In latitude 43-4.90N and longitude 70-43.15W there is a wreck (charted) in ruins. This is located and described in sounding volume 15 page 18. Entered 10/12/2000 DAS. H11014/00-01-- S-A904-WH; NIETHER ADDRESSED NOR DISCUSS,43.081756,-70.718664
-7872365.72404367,5324374.67296138,14,10754,UNKNOWN,A,13283,High,Direct,,,,"HISTORY H08090/55-- CS-355; OLD SCHOONER IN RUINS LOCATED IN LAT. 43-04.90N, LONG. 70-43.15W. LOCATED AND DESCRIBED IN SOUNDING VOLUMES 15 AND 16. REPRESENTED ON SMOOTH SHEET AS A DASHED LINE ORIENTED SE-NW. SE END ABOVE MLW, NW END IN 18 FEET. REPR",43.081422,-70.718664
-7873287.44971574,5323988.62035616,15,10755,UNKNOWN,A,13283,Med,Scaled,,,,"HISTORY Charted visible wreck. H8090/1954-- Visible wreck sketched on smooth sheet at the eastern side of Seavey Island, south of Jamaica Island. No other information noted in the DR. Approx. position scaled in MapInfo from kap chart 13283: 4",43.078889,-70.726944
-7877236.25397059,5325076.7105372,16,10763,ANNE EL,A,13285,High,Direct,33,Feet and tenths,,"HISTORY LNM16/84--COE ADVISES THAT THE SUNKEN F/V ""ANNE EL"" EXISTS IN APPROX. POSITION LAT. 43-05-10N, LONG. 70-45-44W, IN APPROX. 58 FEET OF WATER AT MLW IN THE PISCATAQUA RIVER, PORTSMOUTH, NH. AN APPROX. CLEARANCE OF 53 FEET AT MLW EXISTS OVER TH",43.086028,-70.762417
-7807963.70807865,5426466.34091027,17,11121,UNKNOWN,A,13292,High,Direct,22,Feet and tenths,,"HISTORY H10963/00-- OPR-A329; UNCHARTED SUBMERGED WRECK LOCATED DURING SIDE SCAN SONAR OPS. DIVERS DESCRIBED THE WRECK AS A SMALL ALUMINUM SKIFF, APPROX. 15 FEET LONG AND STANDING 1 FOOT ABOVE THE SEA FLOOR. MULTIBEAM LD OF 21 FEET IN LAT. 43-44-5",43.747597,-70.140131
-7807763.55549593,5424801.76717713,18,11122,UNKNOWN,A,13292,High,Direct,26,Feet and tenths,,"HISTORY H10963/00-- OPR-A329; UNCHARTED WRECK LOCATED DURING SIDE SCAN SONAR OPS. MULTIBEAM LD OF 26 FEET IN LAT. 43-44-12.46N, LONG. 70-08-18.00W. DIVERS DESCRIBED THE REMAINS OF AN OLD WOODEN BARGE WITH NO APPARENT HEIGHT OVER THE SURROUNDING B",43.736794,-70.138333
-7816943.40859506,5414312.13958549,19,11126,UNKNOWN,A,13292,High,Direct,16,Feet and tenths,,"H10963/00-- OPR-A329; UNCHARTED SUBMERGED WRECK LOCATED DURING SIDE SCAN SONAR OPS. DIVERS DESCRIBE A SQUARE WOODEN BARGE MOSTLY BURIED IN THE SAND. LD OF 16 FEET IN LAT. 43-40-07.22N, LONG. 70-13-14.87W. EVALUATOR RECOMMENDS CHARTING A 16WK AS SURVE",43.668672,-70.220797
-7813981.41885792,5420387.47068142,20,11127,UNKNOWN,A,13292,High,Direct,19,Feet and tenths,,HISTORY H10963/00-- OPR-A329; UNCHARTED SUBMERGED WRECK LOCATED DURING SIDE SCAN SONAR OPS. DIVERS DESCRIBE A RECTANGULAR WRECK WITH A SOUTHEAST - NORTHWEST ORIENTATION. TWO MASTS IDENTIFIED AS THE SHOALEST POINTS ON THE WRECK. LD OF 21 FEET (6.3,43.708136,-70.194189
-7813029.97095031,5422653.65802859,21,11129,UNKNOWN,A,13292,High,Direct,5,Feet and tenths,,HISTORY H10963/00-- OPR-A329; UNCHARTED SUBMERGED WRECK LOCATED DURING SIDE SCAN SONAR OPS. DIVERS DISCOVERED A LARGE WOODEN WRECK LAYING PARALLEL TO THE SHORE ON A STEEP SLOPE. THE WRECK WAS APPROX. 30 FEET WIDE AND 100 FEET LONG. FRAMES WERE FOU,43.72285,-70.185642
-7807384.51236678,5421620.45180671,22,11130,UNKNOWN,A,13292,High,Direct,35,Feet and tenths,,"HISTORY 10963/00-- OPR-A329; UNCHARTED SUBMERGED WRECK LOCATED DURING SIODE SCAN SONAR OPS. SIDE SCAN RECORDS INDICATE A SMALL WRECK. MULTIBEAM DATA SHOWS THE WRECK HAVING NO HEIGHT OFF THE BOTTOM. MULTIBEAM LD OF 35 FEET IN LAT. 43-42-58.11N, LON",43.716142,-70.134928
-7810574.37296229,5410501.54924344,23,10426,UNKNOWN,A,13292,High,Direct,79,Feet and tenths,,"HISTORY H10831/98-- OPR-A329-RU; UNCHARTED WRECK LOCATED BY SIDE SCAN SONAR. MULTIBEAM SONAR LD OF 79 FEET OBTAINED IN LAT. 43-38-38.06N, LONG. 70-09-48.90W. EVALUATOR RECOMMENDS CHARTING A SUBMERGED WRECK WITH A LD OF 79 FEET AS SURVEYED.",43.643906,-70.163583
-18111259.5856109,7402209.68280749,24,,UNKNOWN,A,16549,Unknown,Not Provided,,,,No History. (MPG),55.207333,-162.696194
-7816752.38428762,5414368.61942446,25,10551,UNKNOWN,A,13292,High,Direct,,,,"UNKNOWN SOURCE; FIRST CHARTED ON CHART 13292 (325) IN 1930 AS A DANGEROUS SUBMERGED WRECK. REVISED TO A VISIBLE WRECK SYMBOL IN 1941. REVISED TO A DASHED AREA WITH LEGEND ""WRECK"" IN 1943. CL1739/97-- USPS; WRECK REPORTED TO ""COVER AND UNCOVER"".",43.669039,-70.219081
-7884433.9817959,5241799.39070479,26,11615,UNKNOWN,A,13275,High,Direct,32,Feet and tenths,,"HISTORY H10983B/2000--OPR-A338-KR; SURVEY LOCATED A WRECK IN 42/32/14.06N, 070/49/37.47W (NAD83) WITH A LEAST DEPTH OF 32 FEET MLLW. THIS WRECK WAS FOUND APPROXIMATELY 50 METERS FROM AN OBSTRUCTION, PA, CHARTED THROUGH 1stCGD LNM27/99 (SEE THE FO",42.537239,-70.827075
-7811497.76769962,5393055.46101442,27,11619,UNKNOWN,A,13290,High,Direct,131,Feet and tenths,,"H10986/2000--OPR-A318-KR; FOUND A WRECK IN 43/31/49.40N, 070/10/18.76W (NAD83) WITH A LEAST DEPTH OF 131 FEET MLLW WITH MULTIBEAM ECHOSOUNDER. NO DESCRIPTION WAS PROVIDED. (ENTERED 8/02 BY MBH)",43.530389,-70.171878
-7680832.46780104,5479867.9286736,28,970,AMARETTO,A,13305,Poor,Direct,0,,,"00970 DESCRIPTION **** NATIONAL FISHERMAN, OCTOBER, 1985, SARDINE CARRIER STOLEN AND SUNK ON JULY 21, 1985 APPROX. TWO MILES EAST OF OWLS HEAD MAINE. WOOD CONSTRUCTION, 71 FT. LONG, 68 YEARS OLD. OWNERS SPENCER AND DAYLE",44.093136,-68.998092
-7456949.64350147,5627659.59323048,29,780,UNKNOWN,A,13328,Low,Scaled,0,,,"00780 HISTORY UNKNOWN SOURCE--SUBMERGED WRECK CHARTED ON FIRST EDITION OF NOS CHART 13328 (1919) IN APPROX. POS. LAT. 45-02-20.0N, LONG. 66-59-15.0W COVERED 45 FT. SUBSEQUENTLY REVISED TO 42 FT. (CANDIAN SOUNDING DATUM REVISION).",45.038967,-66.986919
-7465373.52554412,5609945.2910407,30,782,UNKNOWN,A,13328,Low,Scaled,0,,,"00782 HISTORY T8791/46-46--PH-11(46), WRECK SCALED AT 1:10,000 IN POS. LAT. 44-55-34.80N, LONG. 67-03-47.40W. CHARTED AS NONDANGEROUS SUBMERGED WRECK ABOVE SOUNDING DATUM. BARES 14 FEET AT SOUNDING DATUM.",44.926411,-67.062592
-7457692.14393083,5605229.68903176,31,783,UNKNOWN,A,13328,Low,Scaled,0,,,"00783 HISTORY T8791/46-46--PH-11(46), WRECK SCALED AT 1:10,000 IN POS. LAT. 44-53-46.80N, LONG. 66-59-39.00W (PRINCE COVE, MOOSE ISLAND) CHARTED AS DANGEROUS SUBMERGED WRECK ABOVE SOUNDING DATUM.",44.896411,-66.993589
-7669576.17338483,5536702.89008478,32,7175,UNKNOWN,A,13309,High,Scaled,0,,,"HISTORY H10130/84--OPR-A166-MI-HFP-84; VISIBLE WK (UNCOVERS 6FT AT MLW) IN LAT 44-27-31N, LONG 68-53-51.0W. 125FT LONG, 30FT WIDE. (ENTERED 3/89 SRB)",44.458686,-68.896975
-7669545.2265524,5536616.33099083,33,7176,UNKNOWN,A,13309,High,Scaled,0,,,"HISTORY H10130/84--OPR-A166-MI-HFP-84; VISIBLE WK (UNCOVERS 6FT MLW) AT LAT 44-27-29.0N, LONG 68-53-50.0W 110FT LONG X 25FT WIDE. (ENTERED 3/89 SRB)",44.458131,-68.896697
-7656897.7696315,5535953.5188641,34,7178,SQUALL,A,13309,High,Scaled,0,,,"HISTORY H10130/84-OPR--A166-MI-HFP-84; VISIBLE WK, STEEL HULL IN RUINS (BARES 15 FT MHW).140FT LONG , 30FT WIDE.LAT 44-27-13.7N, LONG.68-47-01.0W.( ENT 3/89 SRB)",44.453881,-68.783083
-7830896.4107996,5175570.27130343,35,6866,INCA,A,13246,Low,Direct,0,,,"HISTORY NM48/66--THE F/V INCA HAS BEEN REPORTED SUNK IN 24 FATHOMS OF ì WATER IN APPROX. POS. LAT.42-05-50N, LONG.70-20-48W. (ENTERED 8/88 MCR)",42.097322,-70.346139
-7671926.23864856,5504959.5252214,36,7191,UNKNOWN,A,13309,High,Direct,0,,,"HISTORY H10098/83--OPR-A166-MI-83; WRECKAGE (2 OR 3 BEAMS AND SEVERAL CROSS PIECES) LYING FLUSH WITH BOTTOM LOCATED IN LAT 44-15-17N, LONG 68-55-07W. (ENTERED 3/1 SRB)",44.2548,-68.918086
-7081852.36681058,5573170.38347743,37,2321,UNKNOWN,A,,Low,Unknown,0,,,"02321 DESCRIPTION 24 NO.1519; REPORTED STRANDED; POSITION ACCURACY WITHIN 1 MILE; REPORTED THROUGH HO CHART RECORDS, 1919. SURVEY REQUIREMENTS NOT DETERMINED",44.692039,-63.617364
-7456115.07962183,5590365.39964459,38,2323,SCOTIA,A,13006,Poor,Unknown,0,,,SURVEY REQUIREMENTS NOT DETERMINED,44.801744,-66.979422
-7148492.24624371,5639395.85613335,39,2330,CHARLOTTE COM,A,,Low,Unknown,0,,,02330 HISTORY NM DATED 12/25/21 DESCRIPTION 24 NO.1525; SCHOONER; SUNK 1921; POSITION ACCURACY WITHIN 1 MILE SURVEY REQUIREMENTS NOT DETERMINED,45.113417,-64.216
-7352583.9126794,5655708.863961,40,2331,BEAVERHILL,A,13006,Low,Unknown,0,,,"02331 DESCRIPTION 24 NO.4409; CARGO, 10041 GT,SUNK 11/24/44 BY MARINE CASUALTY; POSITION ACCURACY 3-5 MILES 61",45.216739,-66.049386
-7843883.39016232,5127351.99855372,41,1963,POTTSTOWN,A,13246,Low,Direct,31,Feet and tenths,,"DESCRIPTION 24 NO.291; BARGE, 972 GT; SUNK 11/20/44 BY MARINE CASUALTY; POS. ACCURACY ìWITHIN 1 MILE; REPORTED COMPLETELY SUBMERGED BY CGS 5/6/43(?); POSITION ì41-46-30N, 70-27-45W. 27 NO.631; WRECK REPORTED COMPLETELY SUBMERGED.",41.775106,-70.462803
-7846295.23910037,5128844.80286779,42,1964,EXMINSTER,A,13246,Low,Unknown,0,,,"HISTORY NM DATED 1/3/45 DESCRIPTION 24 NO.549; CARGO, 4985 GT, SUNK 4/20/42 BY MARINE CASUALTY, POSITION ACCURACY WITHIN",41.785106,-70.484469
-7102101.04312739,5138559.11792104,43,1972,CYCLOPS,A,,Low,Unknown,0,,,"01972 DESCRIPTION 24 NO.4933; CARGO, 9076 GT,SUNK 1/11/42 BY SUBMARINE; POSITION ACCURACY 3-5 MILES 67 12/30/50",41.850142,-63.799261
-7786738.40203732,5143536.41984821,44,1974,WIDDAH,A,13246,Poor,Unknown,0,,,SURVEY REQUIREMENTS NOT DETERMINED,41.883439,-69.949461
-7847965.36656846,5143535.96879106,45,1975,CG 58012,A,13246,Low,Not Provided,0,,,"01975 DESCRIPTION 24 NO.1108; PATROL, 30 GT,SUNK 5/2/43 BY MARINE CASUALTY; POSITION ACCURACY 1-3 MILES 62",41.883436,-70.499472
-7787666.36169665,5145530.19964029,46,1977,CASTAGNA,A,13246,Poor,Unknown,0,,,SURVEY REQUIREMENTS NOT DETERMINED,41.896772,-69.957797
-7833122.46618085,5146028.37127435,47,1978,SURGE,A,13246,Low,Not Provided,0,,,01978 DESCRIPTION 24 NO.273; 302 GT; POSITION ACCURACY 1-3 MILES; REPORTED THROUGH OLD COAST GUARD RECORDS 27 NO.165; 302 NT; SUNK BEFORE WWII.,41.900103,-70.366136
-7847223.31074267,5147025.39392324,48,1980,HENRY ENDICOTE,A,12300,Poor,Not Provided,0,,,"HISTORY LNM DATED 10/19/50 DESCRIPTION 24 NO.272; BARGE, 1508 GT; SUNK 9/18/39; POS. ACCURACY 1 MILE 27 NO.164; 1508 NT, SUNK BEFORE WWII REPORTED THRU",41.906769,-70.492806
-7834977.82884382,5148521.27408606,49,1983,PIONEER,A,13246,Low,Not Provided,0,,,01983 DESCRIPTION 24 NO.271; 233 GT; SUNK 10/2/38; POSITION ACCURACY 1-3 MILES; REPORTED THROUGH OLD COAST GUARD RECORDS 27 NO.163; 233 NT; SUNK 10/2/38.,41.916769,-70.382803
-7847130.47044784,5151680.14471101,50,1994,MARS,A,13246,Low,Direct,0,,,"DESCRIPTION 24 NO.287; TUG; SUNK 9/13/42 BY MARINE CASUALTY; COLLISION WITH THE BIDWELL; POSITION ACCURACY WITHIN 1 MILE; REPORTED THROUGH HYDROGRAPHIC OFFICE 27 NO.572; TUG; 278 GT, SUNK 9/13/42 IN COLLISION WITH THE BIDWELL. 210 117 FT.",41.937881,-70.491972
-7829411.85298716,5160996.16528411,51,2005,GLENSIDE,A,13246,Poor,Unknown,0,,,"DESCRIPTION 24 NO.879; TWR, 974 GT, SUNK 11/20/44 BY MARINE CASUALTY POSITION ACCURACY 1-3 MILES. 61 11/20/44",42.000103,-70.332803
-7841871.95849451,5148669.82744466,52,2006,MARY B HOWARD,A,13246,High,Not Provided,0,,,"02006 DESCRIPTION 24 NO.880; TRAWLER, 642 GT; SUNK 7/6/42 BY MARINE CASUALTY; POSITION ACCUR. 1-3 MILES. 61 DATED 7/6/42 H11636 - M-A902-GM-07, Item located with swmb, 14 x 3",41.917762,-70.444734
-7818836.49811385,5166490.14875674,53,2012,MILADI,A,13246,Low,Unknown,0,,,02012 DESCRIPTION 24 NO.1126; YACHT; SUNK 7/12/42; POSITION ACCURACY WITHIN 1 MILE; REPORTED THROUGH USCG; DATED 10/19/50. SURVEY REQUIREMENTS NOT DETERMINED,42.036769,-70.237803
-7822083.24348914,5167489.46324371,54,2013,UNKNOWN,A,13267,Low,Not Provided,0,,,02013 DESCRIPTION 24 NO.885; POSITION ACCURACY WITHIN 1 MILE; REPORTED THROUGH H.O. FILES; DATED 12/19/40 SURVEY REQUIREMENTS NOT DETERMINED,42.043436,-70.266969
-7812713.92416012,5167739.3461415,55,2014,ALBERTA,A,13267,Low,Unknown,0,,,HISTORY NM DATED 7/11/50 DESCRIPTION 24 NO.884; TRAWLER; SUNK 1950 BY MARINE CASUALTY; POS. ACCURACY WITHIN 1 MILE,42.045103,-70.182803
-7821341.18756051,5168488.43301977,56,2015,FRANCIS,A,13267,Low,Unknown,0,,,"02015 HISTORY NM51/40 DESCRIPTION 24 NO.245; TRAWLER, POSITION ACCURACY WITHIN 1 MILE; IN 190 FT; 2200 YDS 222 DEGREES FROM RACE POINT LIGHTHOUSE.",42.0501,-70.260303
-7838344.0209452,5170878.64991625,57,2016,UNKNOWN,A,13267,Low,Unknown,0,,,"02016 DESCRIPTION 18 UNKNOWN OBST. HUNG BY TRAWL FISHERMAN, NAD27 GP CONVERTED FROM LORAN C, OBSERVED RATES;9960W-13897.5MS,9960X-25512.9MS(APPROX. 1979) SURVEY REQUIREMENTS NOT DETERMINED",42.066042,-70.413042
-7803808.3621225,5171487.17163909,58,2017,CLARA BELLE,A,13267,Poor,Unknown,0,,,SURVEY REQUIREMENTS NOT DETERMINED,42.0701,-70.102803
-7439782.93175048,5173489.81857047,59,2018,BEN AND JOSEPH,A,13260,Low,Unknown,0,,,"02018 DESCRIPTION 24 NO.268; TRAWLER, 102 GT, SUNK 6/3/42 BY SUBMARINE; POS. ACC. 1-3 MILES REPORTED THRU 1ST ND ON 9/20/42. 27 NO.568, TRAWLER SUNK 6/3/42; REPORTED THROUGH 1ST NAVAL DISTRICT",42.083453,-66.832708
-7847878.53857272,5173582.64874047,60,2019,UNKNOWN,A,13267,Low,Not Provided,0,,,"W00202 -- Obstn is located in area surveyed by USGS R/V Megan Miller by SWATHPlus 234 kHZ phase differencing sonar. However, data collected over Obstn was not utilized for charting purposes and Obstn was not specifically addressed in Chart Letter. (LAH,",42.084072,-70.498692
-7843243.30480168,5174253.89365812,61,2020,UNKNOWN,A,13267,Low,Unknown,0,,,"DESCRIPTION 18 UNKNOWN OBST. HUNG BY TRAWL FISHERMAN, NAD27 GP CONVERTED FROM LORAN C, OBSERVED RATES;9960W-13907.2MS,9960X-25538.7MS(APPROX. 1979)",42.088547,-70.457053
-7845019.40787696,5174656.81315901,62,2021,UNKNOWN,A,13267,Low,Unknown,0,,,"DESCRIPTION 18 UNKNOWN OBST. HUNG BY TRAWL FISHERMAN, NAD27 GP CONVERTED FROM LORAN C, OBSERVED RATES;9960W-13912.3MS,9960X-25545.9MS(APPROX. 1979)",42.091233,-70.473008
-7722729.11875399,5183492.48676711,63,2024,CHEROKEE,A,13260,Low,Unknown,0,,,"DESCRIPTION 24 NO.264; PASSENGER-CARGO, 5896 GT,SUNK 6/15/42 IN 108 FMS BY SUBMARINE; POSITION ACCURACY WITHIN 1 MILE; REPORTED BY 1 ND 5/7/43 27 NO. 159; PASS./FTR; IN 108 FMS; REPORTED THRU 1ST ND HQ.",42.150106,-69.374456
-7722729.11875399,5183492.48676711,64,2025,PORT NICHOLSON,A,13200,Low,Unknown,0,,,"DESCRIPTION 24 NO.265; CARGO, 8402 GT; SUNK 6/16/42 BY SUBMARINE; POS. ACCURACY WITHIN 1 MILE; IN 108 FMS, REPORTED THRU 1 ND LTR. 5/7/43 27 NO.160; FTR., 5338 NT, SUNK 6/16/42 IN 108 FMS., REPORTED THRU 1ST",42.150106,-69.374456
-7855387.26374088,5183491.58048864,65,2026,C.W.CULLEN,A,13267,Low,Unknown,0,,,"DESCRIPTION 24 NO.116; PATROL, 703 GT,SUNK 12/30/18 BY MARINE CASUALTY; POSITION ACCURACY 1-3 MILES 60 4/1/23",42.1501,-70.566144
-7854770.99887556,5184408.74030362,66,2028,PINTHIS,A,13267,High,Direct,22,Meters and tenths,,"W00037/03 -- OPR-A397-TJ-03; Survey Position: 042° 09' 22.353"" N, 70° 33' 38.189"" W Least Depth: 22.08 m Timestamp: 1995-096.21:38:50.270 (04/06/1995) Feature is the least depth from a man-made-looking feature 200 m from charted position. Least dept",42.156208,-70.560608
-7855016.2357874,5184242.35961435,67,2029,WINSOR,A,13246,Poor,Unknown,0,,,,42.1551,-70.562811
-7202292.96098067,5185998.98718213,68,2032,SAN JOSE,A,,Low,Unknown,0,,,"02032 DESCRIPTION 24 NO.137; CARGO, 1586 GT; SUNK 8/17/18 BY SUBMARINE; POS. ACCURACY 1-3 MILES; REPORTED THROUGH CGS SURVEY, DATED 4/1/23 (REG. NO. NOT ASCERTAINED)",42.166797,-64.6993
-7384121.38718098,5185997.78003749,69,2033,AZORES,A,13260,Low,Unknown,0,,,"02033 DESCRIPTION 24 NO.266; 114 GT; POS. ACC. 1-3 MI. AT 42-10N, 66-20W. 27 NO. 161; 114 NT; SUNK BEFORE THE WAR; REPORTED THROUGH OLD COAST GUARD RECORDS; POS. 42-10N, 66-20W.",42.166789,-66.332692
-7693970.94362862,5191002.95078291,70,2034,YALE,A,13200,Low,Unknown,0,,,02034 DESCRIPTION 01 1931 24 NO.8701; CARGO; 312 GT; SUNK 9/25/30 SURVEY REQUIREMENTS NOT DETERMINED,42.200106,-69.116117
-7849821.28810964,5201234.2394724,71,2041,UNKNOWN,A,13267,Low,Unknown,0,,,W00040/03 -- OPR-A397-TJ-03; AWOIS 7560 was not found. Full coverage around the charted wreck was not obtained with the EM 1000 used for the survey. Retain as charted. UPDATED 9/28/2006 JCM. HISTORY NM DATED 6/27/49,42.268156,-70.516144
-7859840.37955539,5201777.46012621,72,2043,SOUTHLAND,A,13267,Low,Unknown,0,,,"DESCRIPTION 24 NO.241; CARGO; SUNK 12/2/30; POSITION ACCURACY WITHIN 1 MILE; REPORTED THROUGH FIRST NAVAL DISTRICT HEADQUARTERS WRECK LIST 9/20/42; POSITION 42-16-35N,",42.271767,-70.606147
-7895123.43794466,5207294.77362497,73,2046,STAMFORD,A,13270,Low,Unknown,0,,,"HISTORY NM DATED 1/31/40 (NOTE: POSSIBLY COMPLETED BY WHITING). (UP 7/2/03, SJV) DESCRIPTION 24 NO.1284; POSITION ACCURACY WITHIN I MILE",42.308431,-70.9231
-7890732.5505876,5209176.54793055,74,2051,ANNIE PERRY,A,13270,Low,Unknown,0,,,"HISTORY NM DATED 11/21/1914: NOT PRESENTLY CHARTED. (NOTE: POSSIBLY COMPLETED BY WHITING). (UP 7/2/03, SJV) DESCRIPTION 24 NO.128",42.320931,-70.883656
-7894937.86837967,5209343.81792235,75,2052,UNKNOWN,A,13270,Low,Unknown,0,,,"HISTORY NM DATED 3/28/25 (NOTE: POSSIBLY COMPLETED BY WHITING). (UP 7/2/03, SJV/) DESCRIPTION 24 NO.1293; BARGE, SUNK 1925, POS. ACCUR. 1-3 MILES",42.322042,-70.921433
-7866890.91348843,5210054.78794264,76,2053,LIEUT S. MENGE,A,13267,Low,Unknown,0,,,"DESCRIPTION 01 1936 24 NO.8402; BARGE, 907 GT; SUNK 10/16/35 BY MARINE CASUALTY; POSITION ACCURACY WITHIN 1 MILE.",42.326764,-70.669483
-7699537.14342008,5211059.45668062,77,2054,TABORFJELL,A,13200,Low,Unknown,0,,,"DESCRIPTION 24 NO.201; CARGO, 1339 GT, SUNK 4/30/42 BY SUBMARINE, POSITION ACCURACY 1-3 MILES; REPORTED IN 135 FATHOMS THRU ROYAL CANADIAN NAVY-WK LIST OF 12/9/42.",42.333436,-69.166119
