OBJECTID,SOURCE_ID,COUNTRY,NAME,LEAST_DEPTH,MAX_DEPTH,DEPTH_INFO,DEPTH_PREC,OBJECT_LENGTH,LOC_PREC,SITE_AREA,SINK_CONTEXT,SINK_YR,DATING,PERIOD,STATUTORY_PROT,OBJ_DESC,SHIP_CHAR,OBJ_TYPE,EST_TONNAGE,PLACE_ORIG,PLACE_DEST,ARTEFACTS,COAST_DIST,SOURCE_INFO,REFERENCE,WEBSITE1,WEBSITE2
"11",FR 0000007881 00001,France,n.a.,,,n.a.,Unknown depth,,1,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,162.584979472,SHOM,n.a.,n.a.,n.a.
"12",FR 0000059117 05115,France,SEADLER,,,n.a.,Unknown depth,,1,,n.a.,,n.a.,n.a.,n.a.,Wreckage debris scattered on the bottom,"German sailing boat from 1917, 110m long",Sailing ship,,n.a.,n.a.,n.a.,31.9270809114,SHOM,n.a.,n.a.,n.a.
"13",FR 0000000122 00001,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,"S201500900 GOP: wreckage now not visible from the sea nor detectable by radar. No longer constitutes a remarkable landmark. 1st det: 1978, the wreck is placed on the sand; this is an old landing barge transport",LST,Landing barge,,n.a.,n.a.,n.a.,67.0655038468,SHOM,n.a.,n.a.,n.a.
"14",FR 0000000123 00001,France,n.a.,0,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Barge wreck,LST,Landing barge,,n.a.,n.a.,n.a.,53.6468507091,SHOM,n.a.,n.a.,n.a.
"15",FR 0000123617 00001,France,DIXIE ISLE II,,,n.a.,Least depth known,20,5,,n.a.,,n.a.,n.a.,n.a.,"3rd det: Wreck laid at the edge of the coral reef and the beach in 0.5m of water. The wreck is well preserved and in one piece. 09/04/2001: according to the photo published in col bleu, the wreck is in fair condition (entire hull, superstructures preserved)",Liner,"Fishing boat, trawler",,n.a.,n.a.,n.a.,50.8897636929,SHOM,n.a.,n.a.,n.a.
"16",FR 0000123616 00001,France,LILY MARIE,,,n.a.,Least depth known,15,5,,n.a.,,n.a.,n.a.,n.a.,"3rd det: Fishing boat stranded on the beach about twenty meters from the shore. Only the front of the boat remains, the rear being dislocated, there is some debris near the main part. 17/12/2004: According to the photo published in the magazine BATEAUX n°560 the wreck is now lying on port side. 09/04/2001: 1st determination: the back of the wreckage no longer exists",Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,104.562392371,SHOM,n.a.,n.a.,n.a.
"17",FR 0000000124 00001,France,ALLIGATOR,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,S201500900 GOP: wreckage now not visible from the sea nor detectable by radar. No longer constitutes a remarkable bitter. 1st det: 1978,LCT,Landing barge,,n.a.,n.a.,n.a.,70.2845427102,SHOM,n.a.,n.a.,n.a.
"18",FR 0000007860 00001,France,n.a.,-2.4,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Hull open in two parts in the longitudinal axis. The wreck placed on the keel is oriented to the north,Small coaster,Coaster,,n.a.,n.a.,n.a.,262.26675172,SHOM,n.a.,n.a.,n.a.
"19",FR 0000130345 00001,France,n.a.,,,n.a.,Unknown depth,,200,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,198.7455658,SHOM,n.a.,n.a.,n.a.
"20",FR 0000492508 00003,France,n.a.,,,n.a.,Unknown depth,,200,,n.a.,,n.a.,n.a.,n.a.,Wreckage debris,n.a.,n.a.,,n.a.,n.a.,n.a.,123.95714323,SHOM,n.a.,n.a.,n.a.
"21",FR 0000007856 00001,France,NR 11 HAI FWU,0,,n.a.,Least depth known,15,10,,Stranded in 1975,"1975",n.a.,n.a.,n.a.,Failed in 1975.Building placed on the coral plateau.Front oriented to 075. The rear of the building is about fifteen meters from the front. Building still emerges that can be considered as category 2 bitter,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,86.8492641699,SHOM,n.a.,n.a.,n.a.
"22",FR 0000007855 00001,France,COUNTY OF ROXBURGH,0,,n.a.,Least depth known,86,5,,This sailboat ran aground on 02/08/1906 following the passage of a cyclone,"1906",n.a.,n.a.,n.a.,2001: the hull is in one piece. 1989: the building is placed on the coral plateau. The bow is oriented to 235. The wreck is still emerged and can be considered a category 2 landmark,"Four-masted hull and iron masts built in 1886 at Glascow by Barclay &amp; Curle shipyards for the company R. &amp; J. Craig &amp; Co",Old merchant ship,,n.a.,n.a.,n.a.,115.256252161,SHOM,n.a.,n.a.,n.a.
"23",FR 0000164496 00001,France,TAMARII TUAMOTU,,,n.a.,Unknown depth,65,5,,Beached on 02/28/1990,"1990",n.a.,n.a.,n.a.,02/01/2010: Wreck 65 meters long and 11 meters wide,Coaster,Coaster,,n.a.,n.a.,n.a.,104.544973274,SHOM,n.a.,n.a.,n.a.
"24",FR 0000129514 00001,France,TRISMUS,0,,n.a.,n.a.,,1000,,Mr. Patrick Van God was wrecked on this island on 03/25/1974,"1974",n.a.,n.a.,n.a.,"2002: wreck washed up on the edge of the motu Vahituri; below the waterline, there are almost only the torques, above the hull is almost intact but the deck begins to destroy itself",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,202.653191703,SHOM,n.a.,n.a.,n.a.
"25",FR 0000007862 00001,France,MAINA-NUI,,,n.a.,Unknown depth,,50,,Sank on 07/02/1987,"1987",n.a.,n.a.,n.a.,"1st det. 1993: still uncovering wreck, risk of moving on the coral reef",Tug,Pusher or tug,,n.a.,n.a.,n.a.,190.445476328,SHOM,n.a.,n.a.,n.a.
"26",FR 0000223382 05115,France,n.a.,7.1,,n.a.,Least depth known,50,1,,n.a.,,n.a.,n.a.,n.a.,Wreck in metal and wood,n.a.,n.a.,,n.a.,n.a.,n.a.,10.7446733347,SHOM,n.a.,n.a.,n.a.
"27",FR 0000205366 00003,France,n.a.,9.4,,n.a.,Least depth known,26.5,1,,Disarmed tuna boat which sank over the years,,n.a.,n.a.,n.a.,n.a.,Tuna boat,"Fishing boat, trawler",,n.a.,n.a.,n.a.,81.5991007996,SHOM,n.a.,n.a.,n.a.
"28",FR 0000281055 00003,France,n.a.,6,,n.a.,Least depth known,12.1,1,,n.a.,,n.a.,n.a.,n.a.,Boat hull,n.a.,n.a.,,n.a.,n.a.,n.a.,2.37821143419,SHOM,n.a.,n.a.,n.a.
"29",FR 0000281054 00003,France,n.a.,6.5,,n.a.,Least depth known,8.1,1,,Landing of the Cessna in the lagoon following a pilot error by a student pilot,,n.a.,n.a.,n.a.,n.a.,Cessna 172F-OHAC aircraft,n.a.,,n.a.,n.a.,n.a.,5.67576702725,SHOM,n.a.,n.a.,n.a.
"30",FR 0000056770 05115,France,n.a.,19.3,,n.a.,Least depth known,34.5,1,,n.a.,,n.a.,n.a.,n.a.,1st det. : metal boat wreck,n.a.,n.a.,,n.a.,n.a.,n.a.,86.0944277051,SHOM,n.a.,n.a.,n.a.
"31",FR 0000056767 05115,France,n.a.,17.2,,n.a.,Least depth known,29,1,,n.a.,,n.a.,n.a.,n.a.,"1st det. : wooden boat wreck, metal superstructure",n.a.,n.a.,,n.a.,n.a.,n.a.,83.3846801519,SHOM,n.a.,n.a.,n.a.
"32",FR 0000007870 00001,France,n.a.,7.3,,n.a.,Least depth known,40,2,,sunk voluntarily in 1976,"1976",n.a.,n.a.,n.a.,"2nd det. : 03/22/2011: schooner sunk in 1976, wreck resting on a sandy slope. 1st det. : 1989, Wreck laid flat on the bottom, long: approx 12m, width approx 3m, wooden hull, wooden deck, good condition, height above the bottom less than 2m, facing north",n.a.,Schooner,,n.a.,n.a.,n.a.,55.1088910081,SHOM,n.a.,n.a.,n.a.
"33",FR 0000281053 00003,France,n.a.,7.5,,n.a.,Least depth known,14.7,1,,n.a.,,n.a.,n.a.,n.a.,Boat hull,n.a.,n.a.,,n.a.,n.a.,n.a.,12.2714058901,SHOM,n.a.,n.a.,n.a.
"34",FR 0000125639 00001,France,MEHERIO,32.7,,n.a.,Least depth known,37,1,,"Sank in the main pass of the port of Papeete on December 19, 2000 while being towed to its offshore immersion site","2000",n.a.,n.a.,n.a.,"20/12/2000: stern of the building located at the extreme north-west point; the wreck is lying on its port side; it is in good condition; his load of car wreckage fell a few dozen meters north of the wreckage",1st det: Barge 50m long,Barge,,n.a.,n.a.,n.a.,144.85088252,SHOM,n.a.,n.a.,n.a.
"35",FR 0000000364 00003,France,n.a.,28.3,,n.a.,Least depth known,40,2,,n.a.,,n.a.,n.a.,n.a.,"03/22/2011: wreck in poor condition, placed on a flat bottom, facing north / south",n.a.,Cargo door,,n.a.,n.a.,n.a.,111.951143489,SHOM,n.a.,n.a.,n.a.
"36",FR 0000065446 05115,France,n.a.,9.1,,n.a.,Least depth known,,1,,n.a.,,n.a.,n.a.,n.a.,Metal wreck,n.a.,n.a.,,n.a.,n.a.,n.a.,77.731853262,SHOM,n.a.,n.a.,n.a.
"37",FR 0000127690 00001,France,TAPATAI,3.4,,n.a.,Least depth known,41.5,1,,n.a.,,n.a.,n.a.,n.a.,"26/03/2002: the wreck of the Tapataï is tilted on its right side; its attitude is negative and the angle is very high. The high point corresponds to the upper part of the rear frame, visible from the surface. The bow is sunk deep in the mud; its position is L=17°32'0.698''S and G=149°34'34.357''W; its stirring is 22.2m. The central mast was not positioned due to the presence of a launch hampering the setting up of a milestone, however its draft is 9.8m. The crane in the middle has been measured at 7.8 m, its position is L=17°32'1.232''S and G=149°34'34.784''W. The wreck is in excellent condition; the visibility on the site is quite poor","Regional support building (BSR) which belonged to the French Navy, and subsequently acquired by DIRCEN",n.a.,,n.a.,n.a.,n.a.,91.2325656086,SHOM,n.a.,n.a.,n.a.
"38",FR 0000155482 00001,France,n.a.,18.6,,n.a.,Least depth known,30,0.7,,n.a.,,n.a.,n.a.,n.a.,"14/12/2004: Riveted metal hull inclined and half buried in the mud, oriented at 040°. No superstructure was detected, which suggests that the barge could be a barge. 4 meters wide, about 30 meters long and protruding from the bottom of 2.20 meters",Metal wreck,"Hull, debris, carcass",,n.a.,n.a.,n.a.,87.019644345,SHOM,n.a.,n.a.,n.a.
"39",FR 0000123267 00003,France,n.a.,8,,n.a.,Least depth known,10,3,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,Sailing ship,,n.a.,n.a.,n.a.,86.4680260442,SHOM,n.a.,n.a.,n.a.
"40",FR 0000123703 00003,France,n.a.,4.6,,n.a.,Least depth known,7.6,3,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,"Pleasure boat, day fishing",,n.a.,n.a.,n.a.,149.635964874,SHOM,n.a.,n.a.,n.a.
"41",FR 0000123704 00003,France,n.a.,6.3,,n.a.,Least depth known,9.7,3,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,46.678792849,SHOM,n.a.,n.a.,n.a.
"42",FR 0000161559 00001,France,ZELEE,10.6,,n.a.,Least depth known,,1,,Was shot on 22/09/1914 by the German squadron of Count von Spee,"1914",n.a.,n.a.,n.a.,n.a.,Gunboat,Gunboat,,n.a.,n.a.,n.a.,55.6141238396,SHOM,n.a.,n.a.,n.a.
"43",FR 0000007869 00001,France,n.a.,11,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,Scattered debris,n.a.,n.a.,,n.a.,n.a.,n.a.,55.1356483593,SHOM,n.a.,n.a.,n.a.
"44",FR 0000170616 00001,France,CRACKER JACK,,,n.a.,Unknown depth,,200,,Sank following a fire,,n.a.,n.a.,n.a.,n.a.,Catamaran,Sailing ship,,n.a.,n.a.,n.a.,83.0293587833,SHOM,n.a.,n.a.,n.a.
"45",FR 0000007871 00001,France,n.a.,7.2,,n.a.,Least depth known,19,2,,sunk voluntarily in 1962,"1962",n.a.,n.a.,n.a.,"2nd deck: placed on a sandy slope, facing north, the starboard wing touches the bottom. Very good state of preservation, the propellers have disappeared. Maximum depth on the starboard wing: 20m. 1st det.: 1992, oriented to the north, the seaplane is at the bottom of a small drop, the starboard wing touches the bottom. Very good state of preservation, the propellers have disappeared. Maximum depth on the port wing: 15m",Catalina type seaplane. Plane,Aircraft,,n.a.,n.a.,n.a.,7.60893414493,SHOM,n.a.,n.a.,n.a.
"46",FR 0000121766 00001,France,n.a.,,,n.a.,Unknown depth,,100,,n.a.,,n.a.,n.a.,n.a.,1st det: blasted vat,Tank,Barge,,n.a.,n.a.,n.a.,137.109888227,SHOM,n.a.,n.a.,n.a.
"47",FR 0000031917 00003,France,n.a.,39.4,,n.a.,Least depth known,25,1,,n.a.,,n.a.,n.a.,n.a.,"1st det: barge in good condition 25m long, 6m wide and 2m high",n.a.,Barge,,n.a.,n.a.,n.a.,175.498490048,SHOM,n.a.,n.a.,n.a.
"48",FR 0000161596 00001,France,n.a.,12.2,,n.a.,Least depth known,10,1,,n.a.,,n.a.,n.a.,n.a.,01/16/2006: Polyester wreck 10 meters long and oriented east-west. Only the hull remains,Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,2.33668317292,SHOM,n.a.,n.a.,n.a.
"49",FR 0000007873 00001,France,TAMARII 2,,,n.a.,Unknown depth,,500,,Sank on 10/14/1993,"1993",n.a.,n.a.,n.a.,n.a.,Ferry,Ferry,,n.a.,n.a.,n.a.,2761.44179876,SHOM,n.a.,n.a.,n.a.
"50",FR 0000007868 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,1318.0108957,SHOM,n.a.,n.a.,n.a.
"51",FR 0000098610 00001,France,RAAHERE,1600,,n.a.,Least depth known,,150,,Accident then sunk voluntarily on 03/14/1997,"1997",n.a.,n.a.,n.a.,n.a.,Bonitier type fishing boat,n.a.,,n.a.,n.a.,n.a.,7203.30997938,SHOM,n.a.,n.a.,n.a.
"52",FR 0000091622 00001,France,TONU,,,n.a.,Unknown depth,,1852,,Was blown up on 04/25/1995,"1995",n.a.,n.a.,n.a.,n.a.,"Built in Australia in 1969, the TONU was operated in New Caledonia until 1973 then in Polynesia in the fleet of administrative buildings. Decommissioned in 1990. Ferry",Ferry,,n.a.,n.a.,n.a.,23160.6329139,SHOM,n.a.,n.a.,n.a.
"53",FR 0000136301 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,54.3003670708,SHOM,n.a.,n.a.,n.a.
"54",FR 0000125827 00001,France,RAROMATAI FERRY,2960,,n.a.,Least depth known,40,9260,,Was scuttled by explosives on 06/01/2001,"2001",n.a.,n.a.,n.a.,n.a.,Metallic transporter ferry built in 1973,Ferry,,n.a.,n.a.,n.a.,25600.6417455,SHOM,n.a.,n.a.,n.a.
"55",FR 0000127012 00001,France,n.a.,,,n.a.,Unknown depth,,9260,,"Was sunk on 12/20/2001, intentionally by firecracker","2001",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,25415.9334925,SHOM,n.a.,n.a.,n.a.
"56",FR 0000127431 00001,France,n.a.,,,n.a.,Unknown depth,,9000,,Was 'oceanized' on 03/07/2002,"2002",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,25139.4312495,SHOM,n.a.,n.a.,n.a.
"57",FR 0000007863 00001,France,TEHORO,0,,n.a.,Least depth known,,10,,Sank on 11/23/1993,"1993",n.a.,n.a.,n.a.,"1st det. 1994: still uncovering wreck, constitutes a remarkable landmark (350065.073)",Tuna boat,"Fishing boat, trawler",,n.a.,n.a.,n.a.,8.10397489123,SHOM,n.a.,n.a.,n.a.
"58",FR 0000007864 00001,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,"1 st determination: 1994, still uncovering wreck, lying on the coral reef",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,135.718577369,SHOM,n.a.,n.a.,n.a.
"59",FR 0000099585 00001,France,TEMEHANI,2500,,n.a.,Least depth known,,150,,"Sank on 02/20/1997 on purpose, by blasting","1997",n.a.,n.a.,n.a.,n.a.,Coaster,Coaster,,n.a.,n.a.,n.a.,9057.9173419,SHOM,n.a.,n.a.,n.a.
"60",FR 0000143839 00001,France,TAPORO IV,,,n.a.,Unknown depth,,1852,,Cargo voluntarily submerged by the services of the territory following its withdrawal from service,,n.a.,n.a.,n.a.,Mixed cargo,"Cargo ship intended for inter-island cabotage, it also provided passenger transport. Mixed cargo","Cargo, commercial vessel",,n.a.,n.a.,n.a.,16048.7921045,SHOM,n.a.,n.a.,n.a.
"61",FR 0000134706 00001,France,n.a.,,,n.a.,Unknown depth,,500,,Was 'oceanized' on 06/05/2004 after towing,"2004",n.a.,n.a.,n.a.,Ship,n.a.,n.a.,,n.a.,n.a.,n.a.,17520.5632491,SHOM,n.a.,n.a.,n.a.
"62",FR 0000007872 00001,France,TAMARII EIMEO,,,n.a.,Unknown depth,,500,,Was blown up on 07/01/1993 by the Port Autonome,"1993",n.a.,n.a.,n.a.,n.a.,Ferry,Ferry,,n.a.,n.a.,n.a.,18147.8441045,SHOM,n.a.,n.a.,n.a.
"63",FR 0000127350 00001,France,n.a.,,,n.a.,Unknown depth,,9000,,Was sunk on 02/16/2002 by firecracker,"2002",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,34850.5256292,SHOM,n.a.,n.a.,n.a.
"64",FR 0000214656 00003,France,BLOOM DIDOU,3.3,,n.a.,Least depth known,,0.2,,n.a.,,n.a.,n.a.,n.a.,"Metal sailboat, lying on its starboard side, with its two masts still in place, oriented in the 160 ° / 340 ° axis (prow)",n.a.,n.a.,,n.a.,n.a.,n.a.,247.772545266,SHOM,n.a.,n.a.,n.a.
"65",FR 0000214655 00003,France,MAB,13.4,,n.a.,Least depth known,11.5,0.2,,n.a.,,n.a.,n.a.,n.a.,"Steel sailboat lying on starboard, oriented at 130 ° / 310 °, whose mast is broken",n.a.,n.a.,,n.a.,n.a.,n.a.,215.40249982,SHOM,n.a.,n.a.,n.a.
"66",FR 0000214657 00003,France,STEREDENN VOR,6.55,,n.a.,Least depth known,17,0.2,,n.a.,,n.a.,n.a.,n.a.,"Steel sailboat oriented at 040 ° / 220 ° (prow), lying on starboard, her mast is broken",n.a.,n.a.,,n.a.,n.a.,n.a.,174.081137154,SHOM,n.a.,n.a.,n.a.
"67",FR 0000214658 00003,France,AMITIE,5.6,,n.a.,Least depth known,13,0.2,,n.a.,,n.a.,n.a.,n.a.,Sailboat of 13 m in fiber cement lying on its port side facing 070 ° / 250 ° (bow). The mast is broken,n.a.,n.a.,,n.a.,n.a.,n.a.,21.909127884,SHOM,n.a.,n.a.,n.a.
"68",FR 0000214659 00003,France,ALYZEA,4.8,,n.a.,Least depth known,13.2,0.2,,n.a.,,n.a.,n.a.,n.a.,"Sailboat of 13.20 m in steel (dark blue hull), orinety at 020 ° / 200 ° lying on starboard. The mast is still in place",n.a.,n.a.,,n.a.,n.a.,n.a.,290.502093557,SHOM,n.a.,n.a.,n.a.
"69",FR 0000130587 00001,France,SAINT-XAVIER MARIE-STELLA,3021,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1852,,This ship was voluntarily blasted and submerged on Tuesday 04/15/2003,"2003",n.a.,n.a.,n.a.,n.a.,Ship built in 1976 in Denmark,n.a.,,n.a.,n.a.,n.a.,28447.4426042,SHOM,n.a.,n.a.,n.a.
"70",FR 0000125828 00001,France,P3,3295,,n.a.,Least depth known,5,9260,,Was scuttled by explosives on 09/11/2001,"2001",n.a.,n.a.,n.a.,n.a.,Former port pusher,Pusher or tug,,n.a.,n.a.,n.a.,14779.3137791,SHOM,n.a.,n.a.,n.a.
"71",FR 0000098344 00001,France,PAPEENOO,3654,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1852,,Was gunned down by Pacific combat ships,,n.a.,n.a.,n.a.,Wreck almost intact when she sank,"Former Norwegian oil tanker incorporated into the French Navy on 29-09-1971; capacity 2500 m3, 10 tanks, two diesels, one propeller. Small tanker","Tanker, tanker, oil tanker, cargo ship",,n.a.,n.a.,n.a.,24037.8873708,SHOM,n.a.,n.a.,n.a.
"72",FR 0000204490 00003,France,n.a.,1.6,,n.a.,Least depth known,8.6,1,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,25.3406321781,SHOM,n.a.,n.a.,n.a.
"73",FR 0000062990 05115,France,n.a.,23.8,,n.a.,Least depth known,2.5,0.7,,n.a.,,n.a.,n.a.,n.a.,"1st det: Wooden hull half buried in the mud 1.2 meters wide, about 2.5 meters long and protruding from the bottom of 0.7 meters",n.a.,Boat or three-masted,,n.a.,n.a.,n.a.,122.138293635,SHOM,n.a.,n.a.,n.a.
"74",FR 0000314953 00003,France,n.a.,15.9,,n.a.,Least depth known,9.9,1,,Sank in 2010 during a Tsunami,"2010",n.a.,n.a.,n.a.,Polyester bonitier whose floor and sides are starting to separate,n.a.,"Fishing boat, trawler",,n.a.,n.a.,n.a.,180.808874873,SHOM,n.a.,n.a.,n.a.
"75",FR 0000112853 00003,France,STERNE,,,n.a.,Unknown depth,,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,Tuna boat,"Fishing boat, trawler",,n.a.,n.a.,n.a.,5.57586772931,SHOM,n.a.,n.a.,n.a.
"76",FR 0000007854 00001,France,HOTU,,,n.a.,Unknown depth,,500,,Stranded in 1948,"1948",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,296.13035722,SHOM,n.a.,n.a.,n.a.
"77",FR 0000007874 00001,France,MAIERE II,3.9,,n.a.,Least depth known,50,10,,Was submerged in November 1989,"1989",n.a.,n.a.,n.a.,"3rd det: high point of the rear castle. 2nd det.:1992, entire wreck, the two broken masts constitute the two high points. The mixing above the gangway (mat) is 2.9m. Orientee N / NE",Coaster,Schooner,,n.a.,n.a.,n.a.,16.0293827138,SHOM,n.a.,n.a.,n.a.
"78",FR 0000000930 00003,France,TAPORO 2,,,n.a.,Unknown depth,45,50,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,60.7462328217,SHOM,n.a.,n.a.,n.a.
"79",FR 0000149452 00003,France,JOULE,33,,n.a.,"Least depth unknown, but estimated to be greater than indicated",15,1000,,"On 01/24/2016, at 12:30 local time, the JOULE, en route from Antigua to Deshaies, reported helm damage. Confused, the DALTON (pleasure boat), passes him a trailer. At 2:15 p.m., the JOULE declared a leak impossible to control. Despite the intervention of 2 divers, an SNSM launch, and the sailboat LILIZ, which passed a 2nd tow, the JOULE sank, around 3:00 p.m., 3 miles north of the islet of Kahouanne","2016",n.a.,n.a.,n.a.,n.a.,Oceanis 48 type sailboat,Sailing ship,,n.a.,n.a.,n.a.,4426.58925335,SHOM,n.a.,n.a.,n.a.
"80",FR 0000216458 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,76.7887956052,SHOM,n.a.,n.a.,n.a.
"81",FR 0000216460 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,87.3130935196,SHOM,n.a.,n.a.,n.a.
"82",FR 0000216455 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,52.4618488904,SHOM,n.a.,n.a.,n.a.
"83",FR 0000216457 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,71.6128498997,SHOM,n.a.,n.a.,n.a.
"84",FR 0000216459 00003,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,83.6899328362,SHOM,n.a.,n.a.,n.a.
"85",FR 0000000104 00001,France,n.a.,,,n.a.,Unknown depth,30,5,,n.a.,,n.a.,n.a.,n.a.,"06/02/1984: Silted wreck, height above the seabed: 1 m, NNE orientation",Sugar barge,"Raft, barge",,n.a.,n.a.,n.a.,239.664271177,SHOM,n.a.,n.a.,n.a.
